Experiment,Model,# Features,AUC Lift (%),Gap Improvement (pp),Composite Gain,Overfit Change (pp)
BASE + temporal + partner_ops + neighbour,RF,104,3.74,12.71,16.44,-0.95
BASE + temporal + partner_ops,RF,77,3.53,10.86,14.39,-1.94
BASE + partner_ops + neighbour,RF,81,3.69,9.94,13.63,-1.55
BASE + partner_ops,RF,54,3.29,9.02,12.32,-2.73
BASE + temporal + partner_ops + neighbour,HGB,104,3.41,7.91,11.33,0.69
BASE + partner_ops,HGB,54,2.75,8.28,11.03,0.02
BASE + temporal + partner_ops,HGB,77,3.4,7.55,10.94,1.11
BASE + temporal + neighbour,RF,85,2.1,8.1,10.2,0.08
BASE + partner_ops + neighbour,HGB,81,3.37,6.44,9.81,0.41
BASE + temporal,RF,58,1.72,4.97,6.69,-0.96
BASE + neighbour,RF,62,1.58,3.68,5.26,0.39
BASE + temporal + neighbour,HGB,85,2.37,1.47,3.84,-1.95
BASE + temporal,HGB,58,1.92,-1.11,0.81,-0.64
BASE + neighbour,HGB,62,0.94,-1.11,-0.17,1.15
